"","county","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","mean_math","mean_science","mean_literature"
"70","putnam",4.2,11.4,0.4,6.3,17.7,55,8815.7,16,19.6,8.8,3.2,0,92.6,5.8,"Upper Cumberland CORE",65.5707865168539,73.9,48.9
"71","rhea",2.1,7.7,0.4,2.9,12,70.1,9006,10.2,18.6,19.8,3.9,0,85.3,5.9,"Southeast CORE",75.8,62.3,47.5
"72","roane",5.2,1.8,0.6,0,17.3,60.2,8960,7.6,19,NA,0.1,0,92.8,4.8,"East TN CORE",70.1,65.9,48.3
"73","robertson",11.3,12.1,0.2,6.6,15.3,51.6,8077.1,23.6,19.4,10.3,4.7,0,95.1,3.3,"Mid Cumberland CORE",73.3,65.4,47.5
"74","rutherford",18.6,11.6,0.2,5.9,11,39.7,8237.1,30.4,19.9,20.5,4.2,0.3,92.5,4.5,"Mid Cumberland CORE",74.6,73,58.7
"75","scott",0.3,1.3,0.2,0,13.3,86.8,8241.7,1.8,16.8,9.4,3.3,0.2,85.4,9.9,"East TN CORE",55,52,41.6
"76","sequatchie",0.6,5,1.2,1.6,17.5,68.1,7904.6,6.8,19.4,18.6,2.5,0.3,85.6,13,"Southeast CORE",67.7,77.8,38.2
"77","sevier",2,8.9,0.4,5.2,14.4,63.3,9614.4,11.3,20.3,19.5,1.4,0,86.2,10.4,"East TN CORE",66,63.7,43.3
"78","shelby",78.4,11.3,0.1,8.3,12.9,79.8,11221.6,89.8,16.9,17.5,18.5,0.8,72.1,17.6,"Southwest/Memphis CORE",59.3,42.8,33
"79","smith",3.5,3.6,0.2,0.7,14.7,57.9,8324.1,7.3,18.5,4.8,2.1,0.1,97.4,1.3,"Upper Cumberland CORE",65.5707865168539,70.6,48.3
"80","stewart",2.6,2.1,0.6,0.1,13.4,49.1,9003.3,5.3,19.4,22.5,1.3,0,96.1,1.9,"Mid Cumberland CORE",77.6,66.7,54.8
"81","sullivan",1.5,1.6,0.3,0.4,17.6,58.3,9189.9,3.4,19.9,15,4.3,0.3,92.6,6.5,"First TN CORE",65.9,61.9,48.7
