"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"372",37080,"Total",1840,183993,3530,186485,2890,135993,90,80,271,0,0,600,1321,660,1575,710,3090,2800,123521,510,617,3380,25152,640,2491,2750,6775
"373",37080,"$1 under $25,000",490,15493,1250,15832,910,10788,30,50,164,0,0,50,50,50,75,60,144,540,3182,30,12,1140,2416,140,95,1030,1922
"374",37080,"$25,000 under $50,000",470,32519,900,32887,770,25641,0,0,0,0,0,80,128,80,145,100,282,880,17595,180,167,880,3831,120,199,760,1848
"375",37080,"$50,000 under $75,000",310,35597,580,36024,490,26841,30,30,107,0,0,140,236,150,297,160,550,580,23735,130,191,570,4249,130,260,440,1180
"376",37080,"$75,000 under $100,000",270,31840,370,32134,340,25668,0,0,0,0,0,120,265,150,330,150,610,370,22658,100,157,360,3902,90,241,270,886
"377",37080,"$100,000 under $200,000",240,44839,350,45355,320,33760,30,0,0,0,0,160,463,180,501,190,1032,350,35239,70,90,350,6253,120,732,220,726
"378",37080,"$200,000 or more",60,23705,80,24253,60,13295,0,0,0,0,0,50,179,50,227,50,472,80,21112,0,0,80,4501,40,964,30,213
"379",37082,"Total",1720,187563,3000,191288,2490,133326,30,60,224,20,84,640,1438,720,1602,750,3204,2400,134241,500,647,2850,27552,720,3171,2160,5504
"380",37082,"$1 under $25,000",340,11917,1000,12298,730,8353,0,40,132,0,0,50,44,50,86,60,131,430,2486,20,7,890,1769,140,127,790,1345
"381",37082,"$25,000 under $50,000",350,24198,660,24775,550,18710,30,0,0,20,84,100,123,110,168,120,303,640,13164,140,135,640,2831,140,304,510,1307
"382",37082,"$50,000 under $75,000",310,28037,460,28537,410,21636,0,20,92,0,0,130,223,150,316,160,557,450,18260,130,208,450,3146,110,280,340,846
"383",37082,"$75,000 under $100,000",240,28087,320,28501,290,22405,0,0,0,0,0,110,231,120,214,120,457,320,20725,100,156,320,3506,70,186,240,736
"384",37082,"$100,000 under $200,000",390,61543,470,62572,430,45778,0,0,0,0,0,190,575,230,558,230,1223,470,48614,110,141,460,8712,200,1182,260,983
"385",37082,"$200,000 or more",90,33781,90,34605,80,16444,0,0,0,0,0,60,242,60,260,60,533,90,30992,0,0,90,7588,60,1092,20,287
"386",37083,"Total",4310,224547,5770,227773,4900,175454,500,200,483,30,110,370,742,370,541,450,1442,4030,129741,1070,1293,5490,30956,790,2613,4800,13315
"387",37083,"$1 under $25,000",1610,34140,2660,34723,2110,26722,140,100,208,0,0,40,47,30,33,50,90,1000,5653,90,33,2460,6358,240,196,2300,5406
"388",37083,"$25,000 under $50,000",1290,57532,1600,58204,1440,48157,120,60,169,30,110,100,138,90,92,120,266,1530,27609,430,382,1550,7008,210,349,1380,4111
"389",37083,"$50,000 under $75,000",690,47251,770,47762,690,38710,100,40,106,0,0,90,142,90,97,110,276,770,29696,290,464,760,5306,130,312,620,1925
"390",37083,"$75,000 under $100,000",400,35654,420,36133,380,28866,60,0,0,0,0,60,143,70,107,80,313,410,25312,170,282,410,4139,90,382,320,1131
"391",37083,"$100,000 under $200,000",280,35311,280,35863,250,25730,60,0,0,0,0,60,174,70,138,70,326,280,28129,90,132,270,4897,100,685,180,742
"392",37083,"$200,000 or more",40,14659,40,15088,30,7269,20,0,0,0,0,20,98,20,74,20,171,40,13342,0,0,40,3248,20,689,0,0
"393",37085,"Total",1330,131408,1900,133401,1600,96194,140,40,116,0,0,450,1350,480,898,520,2433,1560,94058,410,592,1810,17966,410,2655,1420,3740
"394",37085,"$1 under $25,000",180,6829,570,7033,420,4811,40,0,0,0,0,30,23,30,38,30,65,250,1560,20,7,500,968,70,61,460,754
"395",37085,"$25,000 under $50,000",260,14984,410,15232,350,12133,0,40,116,0,0,60,79,60,86,70,169,390,7786,90,93,400,1773,60,93,340,905
"396",37085,"$50,000 under $75,000",210,18122,290,18310,260,14007,50,0,0,0,0,70,136,70,105,80,257,290,11663,90,143,290,1986,70,154,220,593
"397",37085,"$75,000 under $100,000",240,20814,240,21107,220,16711,0,0,0,0,0,80,216,90,155,100,387,240,14368,100,182,240,2376,60,152,180,589
"398",37085,"$100,000 under $200,000",380,42756,330,43373,310,34332,50,0,0,0,0,170,727,190,376,200,1155,330,33013,110,167,330,5862,120,743,220,899
"399",37085,"$200,000 or more",60,27903,60,28346,40,14200,0,0,0,0,0,40,169,40,138,40,400,60,25668,0,0,50,5001,30,1452,0,0
"400",37086,"Total",13450,640685,15850,647059,14360,560311,30,560,1744,80,245,2060,3900,2360,3415,2660,7991,11970,373687,3800,4432,15400,87528,2120,5070,13560,38002
"401",37086,"$1 under $25,000",4090,82617,6390,83989,5370,68670,0,230,721,0,0,190,201,200,240,260,484,2740,15957,320,101,6030,16078,610,506,5650,13606
"402",37086,"$25,000 under $50,000",5030,184499,5100,186472,4810,168807,0,170,548,30,31,620,860,710,890,840,1971,4870,91204,1750,1622,5040,23108,540,974,4540,13956
"403",37086,"$50,000 under $75,000",2180,139738,2280,140911,2180,124418,30,80,237,30,63,530,946,630,850,690,1928,2280,88626,920,1439,2260,15564,390,934,1880,5403
"404",37086,"$75,000 under $100,000",1260,102171,1190,102771,1150,91955,0,50,129,0,0,330,746,390,601,410,1438,1190,71960,550,894,1180,11945,250,657,940,2924
"405",37086,"$100,000 under $200,000",860,104513,830,105769,800,90498,0,30,109,20,151,360,1042,400,717,420,1867,830,81094,260,376,830,14481,290,1341,530,1935
"406",37086,"$200,000 or more",30,27147,60,27147,50,15963,0,0,0,0,0,30,105,30,117,40,303,60,24846,0,0,60,6352,40,658,20,178
"407",37087,"Total",13260,1117578,19710,1135940,17010,806940,470,520,1635,210,1243,3600,8326,3880,8730,4210,18566,15130,766711,3720,4608,18870,161575,3320,17307,15720,43386
"408",37087,"$1 under $25,000",3790,98594,7850,100065,6440,78925,90,190,532,0,0,250,265,240,357,290,656,3460,20384,320,107,7210,16777,620,508,6810,14122
"409",37087,"$25,000 under $50,000",3450,172515,4810,174522,4280,142722,70,140,465,30,36,570,757,620,998,710,1835,4630,87654,1270,1155,4700,20611,610,1059,4150,11272
"410",37087,"$50,000 under $75,000",1990,160812,2600,162496,2330,129886,70,80,275,30,55,660,1166,700,1307,770,2572,2590,103420,870,1381,2550,17867,540,1408,2030,5688
"411",37087,"$75,000 under $100,000",1670,157834,1820,159691,1620,124808,70,60,177,30,93,630,1308,680,1310,730,2752,1820,111350,720,1222,1800,18252,450,1541,1340,4352
"412",37087,"$100,000 under $200,000",1910,281435,2130,285920,1920,213161,120,50,186,60,287,1160,3367,1260,3124,1310,6849,2130,218399,540,743,2110,39302,820,4705,1230,4739
"413",37087,"$200,000 or more",450,246388,500,253246,420,117438,50,0,0,60,772,330,1463,380,1634,400,3902,500,225504,0,0,500,48766,280,8086,160,3213
"414",37090,"Total",4100,389944,6990,395483,6010,295083,350,220,659,80,410,1270,2969,1400,2627,1510,6216,5620,262687,1250,1596,6690,54072,1300,5933,5470,13886
"415",37090,"$1 under $25,000",810,29043,2380,29595,1890,22423,70,60,158,0,0,90,85,80,130,110,243,1070,6383,70,23,2180,4554,210,189,2030,3633
"416",37090,"$25,000 under $50,000",1080,65995,1800,66775,1580,54538,50,60,174,0,0,190,255,210,292,240,567,1740,34862,390,360,1750,7830,240,389,1550,3928
"417",37090,"$50,000 under $75,000",790,66470,1070,67251,950,52848,70,50,164,40,93,240,409,280,433,300,888,1070,42987,350,545,1050,7350,250,647,810,2280
"418",37090,"$75,000 under $100,000",540,65750,760,66410,700,52340,50,30,89,0,0,250,554,270,430,280,1050,760,46984,240,389,750,7795,200,536,540,1638
"419",37090,"$100,000 under $200,000",750,106106,820,107664,750,83029,70,20,74,20,111,410,1273,450,938,470,2356,820,82114,200,279,810,14798,320,1679,480,1946
"420",37090,"$200,000 or more",130,56580,160,57788,140,29905,40,0,0,20,206,90,393,110,404,110,1112,160,49357,0,0,150,11745,80,2493,60,461
"421",37091,"Total",6190,391337,9290,395629,7940,298116,510,280,780,70,284,810,1677,890,1762,980,3803,6850,241084,1650,1932,8840,54259,1380,5088,7600,20198
"422",37091,"$1 under $25,000",2140,50221,3990,50967,3190,39704,120,120,297,0,0,70,68,80,136,90,213,1650,9488,170,53,3650,9088,320,272,3460,7759
"423",37091,"$25,000 under $50,000",1980,93187,2600,93912,2330,78093,120,90,249,0,0,170,238,180,224,210,504,2510,47249,700,634,2540,11349,310,428,2260,6326
"424",37091,"$50,000 under $75,000",1010,80513,1320,81132,1190,64239,100,40,125,40,116,170,299,200,308,210,663,1310,52098,430,678,1290,9012,280,656,1010,2943
"425",37091,"$75,000 under $100,000",570,61566,720,62112,650,47381,70,30,109,0,0,150,328,160,287,180,684,720,44176,230,393,710,7508,180,459,530,1692
"426",37091,"$100,000 under $200,000",450,73465,580,74390,510,53269,100,0,0,30,168,210,605,220,508,240,1204,580,58457,120,174,570,10498,230,1266,320,1290
"427",37091,"$200,000 or more",40,32385,80,33116,70,15430,0,0,0,0,0,40,139,50,299,50,535,80,29616,0,0,80,6804,60,2007,20,188
"428",37095,"Total",440,30269,780,30573,620,22714,100,20,84,0,0,60,104,60,62,70,198,550,18093,130,144,730,3961,120,280,630,1617
"429",37095,"$1 under $25,000",130,4285,360,4379,250,3088,30,20,84,0,0,0,0,0,0,0,0,140,780,0,0,310,667,50,44,280,550
"430",37095,"$25,000 under $50,000",160,7566,210,7676,180,6072,20,0,0,0,0,30,37,30,23,40,73,200,3723,70,52,210,957,40,132,190,536
"431",37095,"$50,000 under $75,000",80,6817,110,6860,100,5753,20,0,0,0,0,0,0,0,0,0,0,110,4442,30,52,110,775,0,0,90,256
"432",37095,"$75,000 under $100,000",40,4560,50,4617,50,3498,30,0,0,0,0,30,67,30,39,30,125,50,3322,30,40,50,522,30,104,40,144
"433",37095,"$100,000 under $200,000",30,7041,50,7041,40,4303,0,0,0,0,0,0,0,0,0,0,0,50,5826,0,0,50,1040,0,0,30,131
"434",37095,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435",37096,"Total",1490,89407,2200,90318,1740,60166,150,160,452,40,125,190,370,180,212,240,738,1480,51401,360,415,2080,12966,290,1324,1820,5282
"436",37096,"$1 under $25,000",590,13401,1070,13635,770,9652,30,60,129,0,0,0,0,0,0,20,29,370,2086,30,9,970,2484,100,89,910,2084
"437",37096,"$25,000 under $50,000",430,20951,590,21153,500,16300,30,60,143,0,0,60,69,50,51,60,116,570,9510,150,132,580,2564,60,107,520,1560
"438",37096,"$50,000 under $75,000",230,14810,240,14903,210,11079,40,0,0,0,0,40,59,30,30,40,98,240,9040,100,153,240,1610,50,148,190,633
"439",37096,"$75,000 under $100,000",130,13260,160,13352,140,10273,20,40,180,40,125,40,74,40,38,50,140,160,9184,50,79,150,1622,30,90,120,498
"440",37096,"$100,000 under $200,000",110,15637,120,15927,120,12862,30,0,0,0,0,50,168,60,93,70,355,120,11981,30,42,120,2347,50,890,80,507
"441",37096,"$200,000 or more",0,11348,20,11348,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9600,0,0,20,2339,0,0,0,0
"442",37097,"Total",500,31625,790,31957,620,21727,60,80,311,0,0,70,109,60,68,100,288,540,18501,110,133,740,4354,110,387,640,1777
"443",37097,"$1 under $25,000",180,4411,360,4480,260,3058,0,0,0,0,0,0,0,0,0,0,0,130,728,0,0,320,804,30,32,300,662
"444",37097,"$25,000 under $50,000",150,8014,230,8129,180,5509,40,60,210,0,0,40,50,0,0,30,33,210,3716,60,46,220,925,30,70,190,507
"445",37097,"$50,000 under $75,000",90,6297,100,6354,90,4970,0,0,0,0,0,0,0,40,34,40,116,100,3857,30,52,100,673,20,40,80,246
"446",37097,"$75,000 under $100,000",50,4351,50,4442,50,3585,20,20,101,0,0,30,59,0,0,0,0,50,3115,20,35,50,611,30,245,40,184
"447",37097,"$100,000 under $200,000",30,8552,50,8552,40,4605,0,0,0,0,0,0,0,20,34,30,139,50,7085,0,0,50,1341,0,0,30,178
"448",37097,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449",37098,"Total",1620,81145,2180,82100,1880,67337,70,100,199,0,0,150,305,170,187,210,589,1520,46277,410,482,2100,11588,270,611,1870,5176
"450",37098,"$1 under $25,000",670,12683,1000,12949,780,9684,0,40,58,0,0,0,0,0,0,0,0,360,2163,40,14,940,2734,60,57,900,2277
"451",37098,"$25,000 under $50,000",470,22146,630,22371,570,18938,50,30,43,0,0,50,61,60,56,80,145,610,10941,180,158,610,2749,90,130,540,1563
"452",37098,"$50,000 under $75,000",250,18211,300,18392,280,15745,0,30,98,0,0,50,99,50,55,60,178,300,11430,100,171,300,1994,60,136,240,650
"453",37098,"$75,000 under $100,000",140,12303,140,12409,140,10948,20,0,0,0,0,20,55,20,20,30,87,140,8793,60,98,140,1452,30,99,110,367
"454",37098,"$100,000 under $200,000",90,15802,110,15979,110,12022,0,0,0,0,0,30,90,40,56,40,179,110,12950,30,41,110,2659,30,189,80,319
"455",37098,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456",37101,"Total",1770,125631,2600,127088,2140,90333,280,160,478,0,0,300,714,270,324,340,1172,1900,80221,460,569,2490,17691,330,1466,2190,6354
"457",37101,"$1 under $25,000",530,13632,1090,13891,800,9493,50,60,164,0,0,40,45,30,29,40,86,430,2289,20,4,1000,2392,100,77,930,1952
"458",37101,"$25,000 under $50,000",530,24940,690,25185,600,20703,70,50,150,0,0,60,85,50,38,70,128,650,11806,180,174,680,3128,60,70,620,1874
"459",37101,"$50,000 under $75,000",290,23515,380,23688,340,19131,60,30,91,0,0,70,137,60,59,80,203,380,14810,120,176,380,2654,70,175,310,950
"460",37101,"$75,000 under $100,000",220,18924,220,19077,210,15935,40,20,73,0,0,50,125,50,63,60,210,220,13169,90,149,220,2446,40,97,180,780
"461",37101,"$100,000 under $200,000",200,23973,190,24600,170,19560,60,0,0,0,0,80,322,80,135,90,545,190,18717,50,66,190,3702,60,1047,150,798
"462",37101,"$200,000 or more",0,20647,30,20647,20,5511,0,0,0,0,0,0,0,0,0,0,0,30,19430,0,0,20,3369,0,0,0,0
"463",37110,"Total",9410,504377,12710,513309,10580,369748,690,460,1213,50,270,1010,2216,970,1461,1140,4035,8760,298252,2380,2720,12050,70102,1860,9235,10430,28488
"464",37110,"$1 under $25,000",3720,75372,5990,76791,4670,58362,190,230,582,0,0,120,124,90,99,130,228,2210,12185,280,95,5510,14140,530,412,5190,12107
"465",37110,"$25,000 under $50,000",2920,125151,3500,126511,3070,103339,170,140,402,20,49,220,304,200,208,250,536,3330,59911,1030,937,3380,15150,440,869,3010,8855
"466",37110,"$50,000 under $75,000",1270,97793,1600,98889,1430,77165,140,60,169,0,0,210,405,200,221,230,660,1600,62703,560,870,1570,10856,320,841,1260,3579
"467",37110,"$75,000 under $100,000",800,73247,850,74021,760,56077,90,30,60,0,0,160,372,170,238,180,660,850,52233,330,551,840,8634,230,706,600,2206
"468",37110,"$100,000 under $200,000",570,80040,630,81917,540,54288,80,0,0,30,221,220,674,230,425,250,1175,630,63153,180,267,620,11443,260,1884,340,1479
"469",37110,"$200,000 or more",130,52774,140,55180,110,20517,20,0,0,0,0,80,337,80,270,100,776,140,48067,0,0,130,9879,80,4523,30,262
"470",37115,"Total",13810,620654,18310,627746,15990,501992,40,510,1656,120,387,1880,3195,2000,3431,2380,7326,12910,341817,3010,2887,17700,86082,2390,6040,15530,40842
"471",37115,"$1 under $25,000",5950,117110,8810,119140,7290,95515,20,260,818,0,0,220,207,210,318,290,612,3680,21819,430,125,8310,22411,720,619,7820,19190
"472",37115,"$25,000 under $50,000",5560,215130,6090,216877,5640,191270,0,150,505,40,69,650,840,660,917,850,1916,5830,108814,1740,1520,6010,25911,720,1134,5340,14816
"473",37115,"$50,000 under $75,000",1400,117066,1940,118159,1760,95855,0,80,274,50,108,450,723,510,775,580,1621,1930,77641,540,792,1920,13545,450,1018,1460,3855
"474",37115,"$75,000 under $100,000",480,67475,790,68124,700,53233,20,0,0,0,0,250,531,280,496,300,1112,790,48963,200,311,780,8348,210,655,560,1701
"475",37115,"$100,000 under $200,000",370,77744,610,78743,540,53650,0,20,59,30,210,260,699,280,711,300,1498,610,61777,100,139,610,10925,250,1299,330,1127
"476",37115,"$200,000 or more",50,26129,70,26703,60,12469,0,0,0,0,0,50,195,60,214,60,567,70,22803,0,0,70,4942,40,1315,20,153
"477",37118,"Total",400,39322,580,39711,500,30961,90,0,0,0,0,130,382,120,294,150,762,470,27942,90,123,560,6047,120,635,450,1338
"478",37118,"$1 under $25,000",60,1957,180,2002,130,1432,30,0,0,0,0,0,0,0,0,30,62,70,386,0,0,160,336,40,49,150,266
"479",37118,"$25,000 under $50,000",90,4435,120,4470,110,3472,0,0,0,0,0,0,0,0,0,0,0,120,2164,20,18,120,542,0,0,110,310
"480",37118,"$50,000 under $75,000",70,5811,90,5896,80,4392,30,0,0,0,0,60,112,50,101,40,176,90,3733,20,33,90,636,40,123,70,194
"481",37118,"$75,000 under $100,000",60,5787,70,5787,60,5093,0,0,0,0,0,0,0,0,0,0,0,70,4131,20,36,70,640,0,0,50,139
"482",37118,"$100,000 under $200,000",90,11759,90,11983,90,9769,30,0,0,0,0,50,150,50,120,60,284,90,9053,30,36,90,1599,40,463,70,429
"483",37118,"$200,000 or more",30,9573,30,9573,30,6803,0,0,0,0,0,20,120,20,73,20,240,30,8475,0,0,30,2294,0,0,0,0
"484",37122,"Total",16320,1813406,24920,1840891,21070,1352273,280,670,2274,480,2573,6610,16090,7360,15078,7940,34401,20810,1317750,4970,6841,23840,261225,5710,34222,18340,48185
"485",37122,"$1 under $25,000",2010,82572,7180,84877,5560,60283,30,160,511,0,0,360,343,330,566,430,969,3260,18421,150,51,6430,11577,790,782,5930,9029
"486",37122,"$25,000 under $50,000",2720,179471,4880,182532,4030,136325,50,160,550,50,74,790,1091,870,1309,980,2557,4710,94127,1030,979,4720,20348,830,1412,3970,9835
"487",37122,"$50,000 under $75,000",2780,229816,3700,233345,3150,174229,40,120,408,70,143,1110,1980,1240,2054,1360,4280,3690,147916,1200,1929,3630,25609,880,2212,2760,7688
"488",37122,"$75,000 under $100,000",2820,284602,3270,288264,2910,222045,50,100,323,70,229,1200,2655,1340,2473,1430,5460,3260,201908,1210,2060,3230,33663,830,2481,2370,7484
"489",37122,"$100,000 under $200,000",4980,650086,4880,658707,4510,522908,80,130,482,190,849,2490,7072,2830,6112,2940,14270,4880,506997,1380,1822,4840,92895,1820,8193,2940,11167
"490",37122,"$200,000 or more",1010,386859,1010,393166,910,236483,30,0,0,100,1278,660,2949,750,2564,800,6865,1010,348381,0,0,990,77133,560,19142,370,2982
"491",37127,"Total",5230,456851,8050,463155,7050,358592,150,210,702,110,522,1580,3747,1780,3528,1910,7967,6460,311608,1600,2130,7760,65669,1410,5608,6430,16360
"492",37127,"$1 under $25,000",970,34637,2840,35366,2350,27818,20,60,234,0,0,120,123,120,204,150,337,1340,8200,80,22,2630,5189,240,219,2470,4146
"493",37127,"$25,000 under $50,000",1220,67857,1870,68758,1650,56924,30,60,196,0,0,250,349,280,410,320,816,1790,35392,440,414,1830,8042,250,392,1600,4236
"494",37127,"$50,000 under $75,000",980,77196,1250,78342,1120,62811,30,40,87,60,126,330,588,380,599,410,1272,1240,49618,400,618,1220,8744,270,734,960,2740
"495",37127,"$75,000 under $100,000",880,77426,890,78139,830,65044,20,20,84,0,0,290,699,340,612,350,1398,890,54300,380,640,890,9090,200,564,690,2312
"496",37127,"$100,000 under $200,000",1020,131712,1020,133075,950,106955,50,30,101,30,152,480,1499,530,1152,540,2849,1020,102757,300,436,1020,18492,350,1550,650,2291
"497",37127,"$200,000 or more",160,68023,180,69475,150,39040,0,0,0,20,244,110,489,130,551,140,1295,180,61341,0,0,170,16112,100,2149,60,635
"498",37128,"Total",16000,1347717,22790,1365300,20430,1118072,150,640,2158,290,1172,5060,11903,5780,11585,6230,25234,19240,920620,5480,7605,22060,184447,4110,16127,18110,46381
"499",37128,"$1 under $25,000",2010,79877,6550,81572,5380,64383,0,160,546,0,0,290,290,300,492,380,848,3190,19516,180,64,6010,11694,570,539,5630,9321
"500",37128,"$25,000 under $50,000",3660,219255,5910,222160,5400,192023,70,170,590,60,73,880,1261,1020,1530,1150,2941,5740,120021,1470,1430,5810,25774,790,1225,5070,12787
"501",37128,"$50,000 under $75,000",3140,241702,3910,244399,3610,207545,0,140,446,50,107,990,1832,1160,1963,1250,3987,3900,157833,1450,2292,3870,27037,780,1836,3090,8416
"502",37128,"$75,000 under $100,000",2890,238794,2760,241406,2610,207185,20,90,261,50,126,920,2087,1090,2007,1150,4296,2750,168255,1290,2244,2740,28061,600,1838,2120,6754
"503",37128,"$100,000 under $200,000",3740,419132,3220,423808,3040,358639,60,80,315,100,515,1660,5044,1870,4277,1950,10017,3220,323853,1090,1575,3200,59578,1120,4840,2040,7841
"504",37128,"$200,000 or more",560,148957,440,151955,390,88297,0,0,0,30,351,320,1389,340,1316,350,3145,440,131142,0,0,430,32303,250,5849,160,1262
"505",37129,"Total",15560,1439145,23860,1458611,20680,1087261,190,640,2127,320,1659,4770,11724,5210,11103,5690,25023,19300,1005397,4670,6097,22960,213618,4500,20849,18610,48477
"506",37129,"$1 under $25,000",2910,96239,8070,98124,6590,76917,20,200,660,0,0,300,295,280,411,360,735,3710,22037,230,75,7380,15005,740,632,6920,12181
"507",37129,"$25,000 under $50,000",3420,209761,5750,212370,5040,174011,30,170,545,50,67,760,1058,800,1242,940,2470,5560,111939,1320,1238,5630,24682,770,1347,4910,12493
"508",37129,"$50,000 under $75,000",2790,223189,3610,225828,3240,182371,40,110,350,40,83,870,1609,970,1564,1070,3337,3600,145159,1210,1875,3570,25023,790,1709,2760,7705
"509",37129,"$75,000 under $100,000",2410,228021,2630,230917,2360,181793,30,80,281,60,195,830,1878,930,1714,1000,3925,2630,161465,1010,1705,2600,26858,640,2036,1950,6269
"510",37129,"$100,000 under $200,000",3280,416070,3150,420906,2890,326931,50,80,291,100,474,1580,4825,1740,4037,1810,9486,3150,323878,900,1204,3130,58987,1180,5365,1860,6853
"511",37129,"$200,000 or more",750,265865,650,270466,560,145238,20,0,0,70,840,430,2059,490,2135,510,5070,650,240919,0,0,650,63063,380,9760,210,2976
"512",37130,"Total",14980,1124418,24900,1142247,22110,846894,160,630,1896,230,1268,3340,8269,3540,8973,3940,18946,18230,734841,3550,4134,24100,172103,3710,15703,20560,49715
"513",37130,"$1 under $25,000",5190,151785,12250,154445,10790,131770,30,320,941,0,0,270,287,220,313,320,650,5800,35000,350,113,11600,25150,910,691,10980,21145
"514",37130,"$25,000 under $50,000",4360,224842,6360,227228,5870,198951,40,170,477,60,106,540,776,540,864,670,1787,6150,119602,1540,1387,6270,26852,740,1127,5560,14192
"515",37130,"$50,000 under $75,000",1830,147437,2410,149275,2110,117245,0,70,216,0,0,590,1097,610,1134,690,2339,2400,96039,740,1169,2380,16674,560,1307,1810,5011
"516",37130,"$75,000 under $100,000",1200,122626,1420,124129,1230,92347,30,30,108,30,86,500,1190,550,1205,580,2520,1420,87287,490,858,1400,14392,420,1366,970,3048
"517",37130,"$100,000 under $200,000",1780,253313,1900,257207,1640,182712,60,40,154,80,306,1040,3075,1160,3299,1210,6828,1900,196197,430,607,1890,35867,780,3807,1060,4125
"518",37130,"$200,000 or more",620,224415,560,229963,470,123869,0,0,0,60,770,400,1844,460,2158,470,4822,560,200716,0,0,560,53168,300,7405,180,2194
"519",37134,"Total",850,68001,1340,68549,1090,49872,80,70,222,0,0,170,372,140,168,200,603,1040,44064,250,294,1290,9298,190,714,1110,3028
"520",37134,"$1 under $25,000",220,5997,480,6091,370,4210,0,0,0,0,0,0,0,0,0,20,37,190,1075,0,0,450,1058,20,15,440,902
"521",37134,"$25,000 under $50,000",210,11007,310,11113,250,8499,0,40,111,0,0,40,62,30,25,30,55,300,5272,100,77,300,1332,30,42,270,771
"522",37134,"$50,000 under $75,000",150,14060,220,14186,180,9818,50,30,111,0,0,50,106,40,35,60,156,220,9038,60,88,220,1666,50,127,170,564
"523",37134,"$75,000 under $100,000",120,13849,160,13937,140,10409,0,0,0,0,0,30,50,20,22,30,76,160,10103,50,74,160,1666,40,175,120,393
"524",37134,"$100,000 under $200,000",150,23088,170,23222,150,16936,30,0,0,0,0,50,154,50,86,60,279,170,18576,40,55,160,3576,50,355,110,398
"525",37134,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"526",37135,"Total",5120,529611,5580,538701,4890,429261,90,150,482,170,997,2230,6104,2600,6304,2730,13678,4740,396106,1290,1888,5350,81535,1530,8858,3840,11363
"527",37135,"$1 under $25,000",250,13206,1340,13632,1060,9873,20,40,109,0,0,70,89,70,159,90,260,570,3067,0,0,1180,1662,160,119,1080,1235
"528",37135,"$25,000 under $50,000",450,25542,700,26332,570,18755,0,0,0,0,0,170,234,190,358,210,665,640,12610,140,116,670,2982,130,274,550,1341
"529",37135,"$50,000 under $75,000",570,38897,620,39963,530,29182,30,20,83,40,97,250,424,280,535,300,1013,610,23948,230,377,600,4306,190,594,410,1369
"530",37135,"$75,000 under $100,000",830,65651,750,66732,690,54440,0,30,96,0,0,370,823,440,932,450,1838,750,44784,350,622,740,7438,190,651,540,1883
"531",37135,"$100,000 under $200,000",2210,225760,1640,228775,1540,191314,40,60,194,80,396,990,2879,1160,2859,1210,6235,1640,172952,570,773,1630,31662,590,3146,1020,4004
"532",37135,"$200,000 or more",810,160555,530,163267,500,125697,0,0,0,50,504,380,1655,460,1461,470,3667,530,138745,0,0,530,33485,270,4074,240,1531
"533",37137,"Total",710,36874,1040,37259,870,29213,40,40,38,0,0,80,141,70,78,90,239,700,20182,150,181,990,4951,150,243,870,2313
"534",37137,"$1 under $25,000",290,6109,500,6215,390,4527,20,40,38,0,0,0,0,20,17,0,0,170,873,0,0,460,1183,50,36,430,999
"535",37137,"$25,000 under $50,000",230,10417,290,10513,260,8572,0,0,0,0,0,40,48,0,0,50,81,280,4930,80,63,290,1273,40,50,260,724
"536",37137,"$50,000 under $75,000",110,7793,130,7877,110,6036,20,0,0,0,0,0,0,30,32,0,0,130,4896,40,73,120,811,30,61,100,277
"537",37137,"$75,000 under $100,000",50,5835,70,5934,60,4928,0,0,0,0,0,40,93,0,0,20,76,70,4092,30,45,70,671,30,96,50,178
"538",37137,"$100,000 under $200,000",30,6720,50,6720,50,5150,0,0,0,0,0,0,0,20,29,20,82,50,5391,0,0,50,1013,0,0,30,135
"539",37137,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540",37138,"Total",6290,683628,11290,695406,9470,493450,60,330,1112,130,1138,2400,5408,2660,6019,2890,12880,9000,482858,1830,2229,10780,103936,2350,11468,8530,21343
"541",37138,"$1 under $25,000",1470,47187,3920,48261,3020,35031,0,110,379,0,0,190,181,180,301,230,503,1730,10112,120,38,3540,7435,410,372,3280,5971
