"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2092",37811,"$100,000 under $200,000",50,14473,90,14524,70,8235,0,0,0,0,0,40,117,40,122,40,272,90,10360,0,0,80,2027,30,247,50,238
"2093",37811,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2094",37813,"Total",6710,254612,7060,257172,6170,200175,150,260,823,30,107,510,1076,530,739,610,2092,4570,137866,1330,1347,6840,37155,730,2050,6180,17489
"2095",37813,"$1 under $25,000",2830,45706,3570,46175,3010,37159,30,120,350,0,0,40,39,40,32,50,77,1230,6630,180,54,3390,9028,190,149,3270,7900
"2096",37813,"$25,000 under $50,000",2560,70849,1980,71360,1800,60645,40,70,219,0,0,150,202,140,142,180,405,1830,30706,690,586,1950,8744,190,238,1790,5651
"2097",37813,"$50,000 under $75,000",710,48301,790,48572,710,38827,30,50,167,30,107,90,180,100,104,120,311,790,30277,270,404,780,5376,140,276,640,1910
"2098",37813,"$75,000 under $100,000",340,33079,390,33422,350,26521,20,20,87,0,0,90,197,100,115,100,329,390,23324,130,224,390,4057,80,237,300,1120
"2099",37813,"$100,000 under $200,000",210,33111,260,33512,240,25098,30,0,0,0,0,110,306,110,160,120,493,260,26059,60,79,260,5053,90,345,160,719
"2100",37813,"$200,000 or more",60,23566,70,24131,60,11925,0,0,0,0,0,30,152,40,186,40,477,70,20870,0,0,70,4897,40,805,20,189
"2101",37814,"Total",11350,634125,13670,643316,11540,460105,140,460,1428,110,888,1680,3924,1740,3001,1930,7941,9580,397823,2420,2655,13140,97189,1860,7443,11310,30785
"2102",37814,"$1 under $25,000",4100,78780,6230,79789,5070,62282,30,210,572,20,25,150,144,150,197,180,353,2370,12917,300,88,5820,13589,390,285,5560,11617
"2103",37814,"$25,000 under $50,000",3940,125673,3500,126867,3090,104578,40,120,420,0,0,300,403,290,299,350,733,3280,57514,1040,867,3430,15295,370,556,3090,9335
"2104",37814,"$50,000 under $75,000",1360,102365,1660,103541,1420,77065,40,60,165,30,91,340,617,340,438,400,1147,1650,64820,510,829,1630,11477,360,772,1260,3860
"2105",37814,"$75,000 under $100,000",830,89643,1040,90677,890,66136,0,40,152,0,0,280,666,290,406,310,1122,1040,63955,340,569,1030,10929,240,691,770,2665
"2106",37814,"$100,000 under $200,000",880,126011,970,127689,840,90052,30,30,119,30,168,440,1292,470,911,490,2414,970,98158,230,302,960,17813,370,1940,540,2161
"2107",37814,"$200,000 or more",240,111653,270,114753,230,59992,0,0,0,30,604,170,802,200,750,200,2172,270,100459,0,0,270,28086,130,3199,90,1147
"2108",37818,"Total",1270,74475,2090,75073,1780,60025,200,110,315,0,0,170,313,150,146,200,542,1480,41235,340,385,2010,10057,240,458,1800,4863
