"","zip","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"287",37771,5030,314235,7040,317951,1060,3862
"288",37772,2810,397387,5530,403436,1510,7503
"289",37774,4140,611440,8820,617831,2430,14550
"290",37777,2800,358529,5680,364537,1160,6395
"291",37779,1120,49438,1360,49850,110,310
"292",37801,7020,521810,11240,527958,1950,7640
"293",37803,8360,875487,14180,887820,3580,16999
"294",37804,7000,522548,10870,528183,2050,7851
"295",37806,810,49743,1220,50170,140,449
"296",37807,2670,143747,3620,145273,330,1172
"297",37809,580,30850,860,30995,50,150
"298",37810,520,29527,700,29742,90,237
"299",37811,780,54077,1320,54499,150,688
"300",37813,6710,254612,7060,257172,610,2092
"301",37814,11350,634125,13670,643316,1930,7941
"302",37818,1270,74475,2090,75073,200,542
"303",37819,150,6823,190,6882,0,0
"304",37820,2190,135677,3220,137307,390,1442
"305",37821,5760,297622,8720,300528,740,2501
"306",37825,1730,108351,2700,109466,280,1147
"307",37826,1120,75601,1810,76416,240,702
"308",37829,490,29598,670,29814,90,278
"309",37830,7960,857771,14050,868937,3040,16489
"310",37840,2410,160242,3790,161722,510,1692
"311",37841,2630,129010,3340,131159,360,1233
"312",37843,880,61964,1540,62682,170,587
"313",37846,1480,80423,1990,81148,190,579
"314",37847,780,32622,910,32814,70,208
"315",37848,70,4461,120,4461,0,0
"316",37849,7620,614467,11780,621979,2370,8384
"317",37852,680,28115,860,28272,80,199
"318",37853,1000,75180,1650,75908,240,1068
"319",37854,3140,211679,4980,213850,580,2674
"320",37857,5300,315540,8040,318649,850,3066
"321",37860,1220,81528,1790,82267,260,828
"322",37861,2170,133487,3200,135474,360,1424
"323",37862,6640,411891,9940,418181,1370,5426
"324",37863,2810,104748,3340,106084,250,781
"325",37865,5640,470356,9850,476819,1720,5719
"326",37866,380,35966,700,36569,130,633
"327",37869,1260,54508,1700,55032,100,268
"328",37870,950,59142,1530,59876,180,755
"329",37871,2490,167370,3830,169028,520,1879
"330",37872,610,28903,740,29157,90,338
"331",37873,1020,62831,1600,63302,170,624
"332",37874,4210,256485,6100,259826,730,2634
"333",37876,7700,528364,13350,535936,1860,6832
"334",37877,2300,181733,3820,184083,600,2085
"335",37878,80,7032,200,7057,0,0
"336",37879,2460,137719,3710,139692,320,1097
"337",37880,750,83148,1450,84328,260,1302
"338",37881,550,26547,740,26886,60,209
"339",37882,510,73974,1300,74960,300,1649
"340",37885,1090,180293,2390,182335,620,4773
"341",37886,960,97838,1870,99025,330,1593
"342",37887,1350,83826,2010,84497,210,689
"343",37888,700,36714,990,37132,70,220
"344",37890,1940,115717,2690,117506,380,1621
"345",37891,1000,57514,1500,57968,150,428
"346",37892,560,22443,680,22660,40,153
"347",37902,130,147282,940,149387,220,2143
"348",37909,3490,377896,7170,384231,1520,6920
"349",37912,5910,360507,10100,364336,1200,4010
"350",37914,5660,347957,9150,352284,1290,4657
"351",37915,1560,43943,1870,44510,120,486
"352",37916,80,24346,1210,24836,40,148
"353",37917,5910,356124,10670,361591,1030,3275
"354",37918,11880,946776,19140,960591,3710,14053
"355",37919,6630,1824583,13920,1863140,4340,57790
"356",37920,8510,760584,16580,772761,2440,9533
"357",37921,9100,479715,12770,484933,1670,5706
"358",37922,11340,1925116,16070,1965898,6430,40347
"359",37923,7510,797701,14320,811503,2980,11130
"360",37924,3310,222063,5140,224418,850,2837
"361",37931,7710,795455,12630,807021,3260,12671
"362",37932,4910,583116,7590,592662,2320,10812
"363",37934,7890,1219594,11750,1246245,4580,27563
"364",37938,4990,482890,8000,489658,2040,8119
"365",38001,1350,70334,1800,71495,190,605
"366",38002,14510,1410573,17880,1429994,7760,45840
"367",38004,3790,289869,4820,292853,1420,5647
"368",38006,1670,102037,2190,103266,240,848
"369",38008,3070,149456,3980,151191,500,1692
"370",38011,3140,205701,4140,207989,890,3220
"371",38012,5140,233240,6230,235931,810,2720
"372",38015,760,56150,1120,56909,180,659
"373",38016,14350,1267005,22370,1283751,7060,32799
"374",38017,17420,2494267,23080,2529485,10850,83326
"375",38018,11410,1104476,17520,1121607,5880,29810
"376",38019,5100,267042,6480,270571,1080,3641
"377",38023,1630,105956,2300,106934,380,1334
"378",38024,8210,498646,11010,506823,1620,7748
"379",38028,1960,498596,3350,508992,1460,11987
"380",38030,260,16115,380,16411,30,84
"381",38034,840,45088,1130,45825,140,394
"382",38037,520,24949,700,25191,60,160
"383",38039,770,27144,910,27367,110,309
"384",38040,1560,91270,2010,92498,220,828
"385",38041,740,34293,980,34564,100,255
"386",38042,220,12383,330,12494,50,115
"387",38044,240,14070,360,14161,30,106
"388",38049,1370,73226,1860,73955,320,932
"389",38052,1110,58852,1490,59528,160,478
"390",38053,8510,585178,12350,591387,2540,10603
"391",38057,1250,79355,1670,80163,380,1419
"392",38058,3450,241172,4760,243498,980,3489
"393",38059,2460,144072,3250,146464,420,1540
"394",38060,3010,289353,4770,292584,1570,5420
"395",38061,230,13409,370,13471,30,77
"396",38063,5160,235488,6450,238463,690,2381
"397",38066,860,108479,1410,109886,480,2209
"398",38067,300,21098,500,21246,80,239
"399",38068,3170,219988,4550,223533,860,2929
"400",38069,770,37730,1070,38060,120,345
"401",38075,1280,55774,1520,56292,190,587
"402",38076,220,24748,380,25101,90,317
"403",38079,890,43781,1230,44480,70,247
"404",38080,760,36209,960,36902,70,231
"405",38103,1260,739665,5960,750206,1960,22199
"406",38104,4470,711763,10680,725564,2610,18686
"407",38105,2060,60651,2500,61361,180,516
"408",38106,10320,245794,10900,248000,980,2830
"409",38107,6100,209603,7320,212040,940,3678
"410",38108,8530,165684,7330,167192,450,1324
"411",38109,18770,559155,21370,563061,3010,10041
"412",38111,15140,1105323,18810,1121100,3770,27492
"413",38112,5620,333605,7140,339337,1310,8424
"414",38114,10720,275745,11580,278128,1130,3753
"415",38115,19840,547246,20080,551079,2750,8357
"416",38116,16740,581740,19040,586100,3760,13496
"417",38117,7600,1605457,13570,1633155,5370,55564
"418",38118,22900,511632,19680,515614,2230,6839
"419",38119,6690,975771,11460,991083,3820,26929
"420",38120,3770,1465425,7190,1490234,3360,48210
"421",38122,10920,349132,11030,353230,1220,4101
"422",38125,15810,1065838,20470,1077902,6900,30601
"423",38126,2600,39762,2250,40259,100,290
"424",38127,18380,439738,17930,443321,1800,5261
"425",38128,18450,544430,18880,549232,2950,9605
"426",38133,8070,584932,10170,591876,2740,13996
"427",38134,13660,716664,18370,723908,3330,12236
"428",38135,9350,827420,14100,836696,4720,21704
"429",38138,6800,1458072,11810,1484746,5870,47119
"430",38139,5720,1475585,7520,1502413,4400,48950
"431",38141,11580,376408,11530,379292,2700,8186
"432",38201,2570,154003,3770,156326,430,1335
"433",38220,500,29256,770,29632,70,195
"434",38221,650,46198,1180,46940,140,472
"435",38222,530,53133,1110,53809,170,608
"436",38224,280,16216,380,16557,30,142
"437",38225,1600,99488,2410,101101,220,707
"438",38226,70,4874,150,4938,0,0
