"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"137",37032,"$50,000 under $75,000",240,20558,330,20866,80,304
"138",37032,"$75,000 under $100,000",190,17741,200,17919,80,318
"139",37032,"$100,000 under $200,000",180,21941,170,22372,100,510
"140",37032,"$200,000 or more",20,9915,30,9915,20,199
"141",37033,"Total",2010,122729,2920,124267,330,1260
"142",37033,"$1 under $25,000",720,16081,1310,16388,40,55
"143",37033,"$25,000 under $50,000",500,27920,780,28207,80,205
"144",37033,"$50,000 under $75,000",400,25149,410,25447,70,176
"145",37033,"$75,000 under $100,000",200,18332,220,18536,50,184
"146",37033,"$100,000 under $200,000",160,21992,170,22434,70,364
"147",37033,"$200,000 or more",30,13255,30,13255,20,276
"148",37034,"Total",2150,145421,2980,147176,500,1746
"149",37034,"$1 under $25,000",470,12148,990,12360,40,92
"150",37034,"$25,000 under $50,000",610,30085,820,30399,110,266
"151",37034,"$50,000 under $75,000",420,32825,530,33062,130,411
"152",37034,"$75,000 under $100,000",330,30062,350,30277,100,343
"153",37034,"$100,000 under $200,000",320,34226,270,35003,120,634
"154",37034,"$200,000 or more",0,6075,20,6075,0,0
"155",37035,"Total",1060,78396,1570,79388,230,872
"156",37035,"$1 under $25,000",290,6972,550,7114,0,0
"157",37035,"$25,000 under $50,000",280,15526,430,15702,70,154
"158",37035,"$50,000 under $75,000",180,15321,250,15472,50,142
"159",37035,"$75,000 under $100,000",160,15255,180,15424,40,148
"160",37035,"$100,000 under $200,000",150,25322,160,25676,70,428
"161",37035,"$200,000 or more",0,0,0,0,0,0
"162",37036,"Total",1620,113872,2440,115258,340,1234
"163",37036,"$1 under $25,000",510,11805,940,12092,30,53
"164",37036,"$25,000 under $50,000",410,23069,640,23271,60,138
"165",37036,"$50,000 under $75,000",350,24860,410,25047,90,277
"166",37036,"$75,000 under $100,000",190,20920,240,21129,70,259
"167",37036,"$100,000 under $200,000",160,33218,210,33719,90,507
"168",37036,"$200,000 or more",0,0,0,0,0,0
"169",37037,"Total",2400,178417,3260,180645,730,2956
"170",37037,"$1 under $25,000",370,11994,1030,12266,60,120
"171",37037,"$25,000 under $50,000",590,31145,840,31671,150,357
"172",37037,"$50,000 under $75,000",580,37830,610,38239,160,492
"173",37037,"$75,000 under $100,000",430,32677,380,32976,130,481
"174",37037,"$100,000 under $200,000",370,45155,350,45596,190,998
"175",37037,"$200,000 or more",60,19616,50,19897,40,508
"176",37040,"Total",15820,906084,21590,918261,3190,12504
"177",37040,"$1 under $25,000",5150,115623,8960,117595,290,706
"178",37040,"$25,000 under $50,000",4980,225462,6230,227916,710,1859
"179",37040,"$50,000 under $75,000",2870,199739,3270,201839,810,2819
"180",37040,"$75,000 under $100,000",1510,137590,1600,139050,570,2302
"181",37040,"$100,000 under $200,000",1190,172299,1370,174948,690,3711
"182",37040,"$200,000 or more",120,55371,160,56913,120,1107
"183",37042,"Total",25600,1146971,31460,1158950,3580,12435
"184",37042,"$1 under $25,000",9030,182511,13700,185493,380,926
"185",37042,"$25,000 under $50,000",9530,364648,10240,367999,1110,3113
"186",37042,"$50,000 under $75,000",4120,262933,4320,265361,930,2981
"187",37042,"$75,000 under $100,000",1860,166329,1940,167736,580,2272
"188",37042,"$100,000 under $200,000",990,149121,1190,150351,530,2684
"189",37042,"$200,000 or more",70,21429,70,22010,50,459
"190",37043,"Total",13330,1260929,20290,1283776,5210,26209
"191",37043,"$1 under $25,000",2360,81368,6680,83115,320,845
"192",37043,"$25,000 under $50,000",2970,172280,4720,174873,740,2235
"193",37043,"$50,000 under $75,000",2630,197258,3200,199747,1040,3821
"194",37043,"$75,000 under $100,000",2030,194111,2250,196707,940,4134
"195",37043,"$100,000 under $200,000",2700,369838,2790,375878,1660,9701
"196",37043,"$200,000 or more",640,246074,650,253456,510,5473
"197",37046,"Total",1140,189404,1800,193360,570,3710
"198",37046,"$1 under $25,000",130,6499,570,6745,40,106
"199",37046,"$25,000 under $50,000",200,13016,360,13243,40,102
"200",37046,"$50,000 under $75,000",170,14511,240,14727,70,206
"201",37046,"$75,000 under $100,000",140,13993,160,14189,70,267
"202",37046,"$100,000 under $200,000",300,41967,310,43039,210,1163
"203",37046,"$200,000 or more",200,99418,160,101417,140,1866
"204",37047,"Total",670,53034,1090,53683,130,444
"205",37047,"$1 under $25,000",150,5524,440,5601,0,0
"206",37047,"$25,000 under $50,000",210,10878,300,10986,40,80
"207",37047,"$50,000 under $75,000",130,9273,150,9342,20,58
"208",37047,"$75,000 under $100,000",110,9317,110,9365,30,90
"209",37047,"$100,000 under $200,000",70,18042,90,18389,40,216
"210",37047,"$200,000 or more",0,0,0,0,0,0
"211",37048,"Total",1700,153134,2660,155745,660,2685
"212",37048,"$1 under $25,000",270,10402,880,10627,40,91
"213",37048,"$25,000 under $50,000",340,22117,600,22437,90,239
"214",37048,"$50,000 under $75,000",340,26664,430,27157,110,311
"215",37048,"$75,000 under $100,000",320,28227,330,28570,140,471
"216",37048,"$100,000 under $200,000",360,46515,360,47298,230,1156
"217",37048,"$200,000 or more",70,19209,60,19656,50,417
"218",37049,"Total",1030,76123,1610,77102,330,1271
"219",37049,"$1 under $25,000",300,7806,640,8015,30,68
"220",37049,"$25,000 under $50,000",250,14694,410,14847,70,186
"221",37049,"$50,000 under $75,000",170,14375,230,14552,70,201
"222",37049,"$75,000 under $100,000",130,13847,160,14006,60,241
"223",37049,"$100,000 under $200,000",180,25401,170,25682,100,575
"224",37049,"$200,000 or more",0,0,0,0,0,0
"225",37050,"Total",450,29386,690,29647,100,353
"226",37050,"$1 under $25,000",120,3384,270,3432,30,52
"227",37050,"$25,000 under $50,000",120,6640,190,6729,0,0
"228",37050,"$50,000 under $75,000",100,7499,120,7584,30,106
"229",37050,"$75,000 under $100,000",40,4627,50,4627,20,84
"230",37050,"$100,000 under $200,000",70,7236,60,7275,20,111
"231",37050,"$200,000 or more",0,0,0,0,0,0
"232",37051,"Total",1020,63289,1480,64113,190,668
"233",37051,"$1 under $25,000",330,7964,620,8181,0,0
"234",37051,"$25,000 under $50,000",280,14414,390,14600,60,124
"235",37051,"$50,000 under $75,000",200,13757,220,13955,40,112
"236",37051,"$75,000 under $100,000",120,10998,130,11055,30,133
"237",37051,"$100,000 under $200,000",90,16156,120,16322,60,299
"238",37051,"$200,000 or more",0,0,0,0,0,0
"239",37052,"Total",710,53724,1140,54444,170,681
"240",37052,"$1 under $25,000",200,5711,450,5831,0,0
"241",37052,"$25,000 under $50,000",170,9780,270,9899,40,127
"242",37052,"$50,000 under $75,000",140,11840,190,11994,40,136
"243",37052,"$75,000 under $100,000",110,9293,110,9441,40,167
"244",37052,"$100,000 under $200,000",90,17100,120,17279,50,251
"245",37052,"$200,000 or more",0,0,0,0,0,0
"246",37055,"Total",8190,530269,11990,537752,1740,6485
"247",37055,"$1 under $25,000",2710,65318,5200,66447,160,380
"248",37055,"$25,000 under $50,000",2420,114330,3180,115568,370,855
"249",37055,"$50,000 under $75,000",1220,98691,1600,99692,360,1057
"250",37055,"$75,000 under $100,000",870,82715,960,83593,300,1103
"251",37055,"$100,000 under $200,000",830,113496,890,114876,430,2102
"252",37055,"$200,000 or more",140,55719,160,57576,120,988
"253",37057,"Total",230,13165,320,13441,20,73
"254",37057,"$1 under $25,000",70,1497,130,1588,0,0
"255",37057,"$25,000 under $50,000",70,3290,90,3290,20,73
"256",37057,"$50,000 under $75,000",50,3424,60,3609,0,0
"257",37057,"$75,000 under $100,000",40,2016,20,2016,0,0
"258",37057,"$100,000 under $200,000",0,2938,20,2938,0,0
"259",37057,"$200,000 or more",0,0,0,0,0,0
"260",37058,"Total",1700,129063,2790,130609,410,1554
"261",37058,"$1 under $25,000",590,13906,1110,14197,40,87
"262",37058,"$25,000 under $50,000",420,25599,700,25901,90,232
"263",37058,"$50,000 under $75,000",300,27452,450,27759,90,277
"264",37058,"$75,000 under $100,000",170,21264,250,21427,70,286
"265",37058,"$100,000 under $200,000",220,32581,250,33064,120,672
"266",37058,"$200,000 or more",0,8261,30,8261,0,0
"267",37059,"Total",420,24280,660,24562,50,110
"268",37059,"$1 under $25,000",160,4129,320,4271,0,0
"269",37059,"$25,000 under $50,000",100,6001,170,6082,0,0
