"","county","sum_total_population","sum_total_income_returns","sum_total_income_amount","income_per_tax_return","sum_num_dependents","sum_adj_gross_income","mean_adj_gross_income","mean_total_income_amount","sum_taxes_paid_returns","sum_taxes_paid_amount","income_category"
"86","carter",141988,17110,687239,40.1659263588545,10370,679975,169993.75,171809.75,1690,6453,"Low Income"
"87","carroll",283074,12320,509639,41.366801948052,8160,503278,45752.5454545455,46330.8181818182,1240,4262,"Medium Income"
"88","cannon",48200,6010,268852,44.7341098169717,3690,265485,66371.25,67213,810,2704,"Medium Income"
"89","campbell",166260,13440,545214,40.5665178571429,8940,539476,89912.6666666667,90869,1230,5145,"Low Income"
"90","bradley",574020,44650,2150527,48.1640985442329,32160,2121773,353628.833333333,358421.166666667,7600,31521,"Medium Income"
"91","blount",1069440,53270,2902794,54.4920968650272,31380,2865675,286567.5,290279.4,10860,48955,"High Income"
"92","bledsoe",7280,3410,131702,38.6222873900293,2350,129701,129701,131702,380,1170,"Low Income"
"93","benton",52200,6530,272107,41.6702909647779,3980,268618,67154.5,68026.75,790,2772,"Medium Income"
"94","bedford",170580,19300,860292,44.5747150259067,16110,848932,212233,215073,2360,9086,"Medium Income"
"95","anderson",389586,31520,1695317,53.7854378172589,18590,1674852,279142,282552.833333333,5520,27052,"High Income"
